idx	input	gold	vanilla_pred	attn_pred
9	angarak	अंगारक	अंगरक	अंगारक
34	agsta	अगस्ता	अगस्त	अगस्ता
55	agyat	अज्ञात	अज्ञत	अज्ञात
61	atwal	अटवाल	अतवाल	अटवाल
65	addon	अड्डों	एडों	अड्डों
68	atharva	अथर्व	अथरवा	अथर्व
82	adhyayanrat	अध्ययनरत	अध्ययनर्त	अध्ययनरत
83	adhyaynrat	अध्ययनरत	अध्ययनर्त	अध्ययनरत
92	anaavashyak	अनावश्यक	अनावाश्यक	अनावश्यक
104	anuprayogon	अनुप्रयोगों	अनुप्यारायोग	अनुप्रयोगों
105	anupryogon	अनुप्रयोगों	अनुप्यरोगिं	अनुप्रयोगों
111	anyay	अन्याय	अन्यय	अन्याय
115	aparivartansheel	अपरिवर्तनशील	अपरिवर्सनीलत	अपरिवर्तनशील
116	aparivartanshil	अपरिवर्तनशील	अपरिवर्नशीली	अपरिवर्तनशील
123	apaardarshi	अपारदर्शी	अपरदार्शी	अपारदर्शी
126	afroz	अफरोज	अफ्रोज	अफरोज
128	abbaasi	अब्बासी	बाबासी	अब्बासी
152	amuk	अमुक	अमूक	अमुक
160	ardaas	अरदास	अर्दास	अरदास
166	urgent	अर्जेंट	उर्जेंट	अर्जेंट
174	aryma	अर्यमा	आर्यमा	अर्यमा
192	ali	अली	एली	अली
197	alba	अल्बा	अलबा	अल्बा
221	avishvasniy	अविश्वसनीय	अविश्वासनीय	अविश्वसनीय
229	ashktta	अशक्तता	अष्कताता	अशक्तता
232	ashariri	अशरीरी	आशारीरी	अशरीरी
236	asamaany	असमान्य	असामान्य	असमान्य
238	asmanye	असमान्य	असमानेय	असमान्य
239	asaamnjsy	असामंजस्य	असंजम्स्य	असामंजस्य
249	ahirauli	अहिरौली	अहिरुली	अहिरौली
251	items	आइटम्स	इत्मेस	आइटम्स
253	idol	आइडल	आईडल	आइडल
288	aadhin	आधीन	आधिन	आधीन
375	engineer	इंजिनियर	इंजीनियर	इंजिनियर
381	iaan	इआन	आईएन	इआन
401	ibija	इबीजा	इबिजा	इबीजा
403	imaging	इमेजिंग	इमैजिंग	इमेजिंग
422	ea	ईए	इए	ईए
424	eater	ईटर	इटर	ईटर
433	isaaiyon	ईसाइयों	ईसाईयों	ईसाइयों
434	isaiyon	ईसाइयों	ईसाईयों	ईसाइयों
435	isayiyon	ईसाइयों	ईसाईयों	ईसाइयों
438	ukhrul	उखरुल	उखरूल	उखरुल
449	uthen	उठें	उठाएं	उठें
460	utane	उतने	उताने	उतने
478	updraviyon	उपद्रवियों	उप्दारवियों	उपद्रवियों
479	upadravi	उपद्रवी	उपाद्वरी	उपद्रवी
480	updravi	उपद्रवी	उप्दारवी	उपद्रवी
482	updravon	उपद्रवों	उप्दारवों	उपद्रवों
484	upabhokta	उपभोक्ता	उपभाख्ता	उपभोक्ता
494	ubuntu	उबंटू	उबंटु	उबंटू
500	umesh	उमेश	उम्षे	उमेश
507	urvarata	उर्वरता	उर्वराता	उर्वरता
532	entone	एंटोन	इंटोन	एंटोन
534	antony	एंटोनी	अंटोनी	एंटोनी
551	addi	एड्डी	आद्दी	एड्डी
553	eddie	एड्डी	एडीड	एड्डी
567	emerald	एमरल्ड	एमराडल	एमरल्ड
568	emrald	एमरल्ड	एमर्डल	एमरल्ड
592	spf	एसपीएफ	सीपीएफ	एसपीएफ
615	ail	ऐल	एल	ऐल
619	aise	ऐसे	आईएस	ऐसे
620	oxide	ऑक्साइड	ओक्सीड	ऑक्साइड
626	okalahoma	ओकलाहोमा	ओकोलाहमो	ओकलाहोमा
642	auchitya	औचित्य	औचित्या	औचित्य
647	aurora	औरोरा	औौरोरा	औरोरा
648	aulakh	औलख	औलाख	औलख
685	kaningham	कनिंघम	कानिंघम	कनिंघम
702	kapolkalpana	कपोलकल्पना	कपोलक्पाला	कपोलकल्पना
713	kamaljeet	कमलजीत	कमलाजीत	कमलजीत
719	kmere	कमेरे	केमरे	कमेरे
720	karanj	करंज	करांज	करंज
727	karna	करना	कर्ण	करना
729	karam	करम	कराम	करम
737	kalraj	कलराज	कालराज	कलराज
755	kanji	कांजी	कंजी	कांजी
781	karyakartaon	कार्यकर्ताओं	कार्यकार्तों	कार्यकर्ताओं
782	karykartaaon	कार्यकर्ताओं	कार्यकार्ताओं	कार्यकर्ताओं
783	karykartaon	कार्यकर्ताओं	कार्यकार्ताओं	कार्यकर्ताओं
829	kusumalataa	कुसुमलता	कुसुलामता	कुसुमलता
830	kusumalta	कुसुमलता	कुसुलामता	कुसुमलता
838	candidate	कैंडिडेट	कांडेडिट	कैंडिडेट
843	cadmium	कैडमियम	कैदमियम	कैडमियम
844	catholic	कैथोलिक	कैथलिक	कैथोलिक
846	kaetholikon	कैथोलिकों	कैथलिकों	कैथोलिकों
856	corolla	कोरोला	कोरलोला	कोरोला
876	cric	क्रिक	क्रीक	क्रिक
885	creg	क्रेग	क्रेज	क्रेग
887	chrom	क्रोम	चरोम	क्रोम
897	clerys	क्लेरिस	क्लरीज	क्लेरिस
900	kshitij	क्षितिज	क्षीतिज	क्षितिज
907	khanda	खंडा	खांडा	खंडा
912	khatakati	खटकती	खताकती	खटकती
913	khatakti	खटकती	खतकती	खटकती
915	khattapan	खट्टापन	खत्तपान	खट्टापन
936	khate	खाते	खते	खाते
947	khushiyan	खुशियां	खुश्यिन	खुशियां
949	khaini	खैनी	खानि	खैनी
950	khairati	खैराती	खैरते	खैराती
957	gandki	गंडकी	गंदकी	गंडकी
976	gahmagahmi	गहमागहमी	गहमगाहीम	गहमागहमी
986	gayen	गाएं	गायें	गाएं
987	gazi	गाज़ी	गाजी	गाज़ी
994	ginate	गिनते	गिनेत	गिनते
995	ginte	गिनते	गिनेट	गिनते
1022	grihnagar	गृहनगर	गृहनगार	गृहनगर
1043	granthiyaan	ग्रंथियां	ग्रांथियां	ग्रंथियां
1044	granthiyan	ग्रंथियां	ग्रांथियां	ग्रंथियां
1046	granthiyon	ग्रंथियों	ग्रांथियों	ग्रंथियों
1050	greg	ग्रेग	ग्रेज	ग्रेग
1053	grandson	ग्रैंडसन	ग्रांडसों	ग्रैंडसन
1062	ghisai	घिसाई	घीसाई	घिसाई
1063	ghisi	घिसी	घीसी	घिसी
1085	chandu	चंदू	चंदु	चंदू
1088	chandramaon	चंद्रमाओं	चंद्रामों	चंद्रमाओं
1093	chakshu	चक्षु	चाचसु	चक्षु
1102	channa	चन्ना	चानना	चन्ना
